GO term	Primary symbol
GO:0000082	ACVR1|ACVR1B|BCAT1|CACUL1|CAMK2A|CCND1|CCNE1|CCNE2|CCNH|CDC25A|CDC34|CDC45|CDC6|CDC7|CDK2|CDK3|CDK4|CDK6|CDK7|CDKN1A|CDKN1B|CDKN2A|CDKN2C|CDKN2D|CDKN3|CDT1|CRLF3|CUL1|CUL2|CUL3|CUL4A|CUL4B|CUL5|DBF4|EIF4E|EIF4EBP1|GMNN|GPR132|GSPT1|HINFP|ID4|INHBA|IQGAP3|ITGB1|KHDRBS1|LATS1|LATS2|MAX|MCM10|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|MCM8|MNAT1|MYC|NASP|ORC1|ORC2|ORC3|ORC4|ORC5|ORC6|PHF8|PIAS1|PIM2|PLK2|PLK3|POLA1|POLA2|POLE|POLE2|POLE3|POLE4|PPAT|PPP3CA|PPP6C|PRIM1|PRIM2|RB1|RBBP8|RCC1|RHOU|RPA1|RPA2|RPA3|RPA4|RPS6|RPS6KB1|SKP2|SPDYA|TAF10|TFDP3|TRIM71|USP26|USP29|USP37
GO:0000083	BACH1|BRD4|CCNA1|CCNE1|CDC45|CDC6|CDT1|DHFR|E2F1|E2F4|E2F6|FBXO5|GFI1|HINFP|KLF11|NPAT|ORC1|PCNA|POLA1|RRM2|TFDP1|TFDP2|TYMS
GO:0000086	ABCB1|ACTR1A|AJUBA|AKAP9|ALMS1|ARPP19|AURKA|BORA|BRSK2|BTRC|CALM3|CCNA2|CCNB1|CCNB2|CCNH|CCNY|CCP110|CDC25A|CDC25B|CDC25C|CDK1|CDK14|CDK2|CDK5RAP2|CDK7|CDKN1A|CDKN2B|CENPJ|CEP131|CEP135|CEP152|CEP164|CEP192|CEP250|CEP290|CEP41|CEP57|CEP63|CEP70|CEP72|CEP76|CEP78|CETN2|CHEK2|CIT|CKAP5|CLASP1|CNTRL|CSNK1D|CSNK1E|CUL1|DCTN1|DCTN2|DCTN3|DNM2|DYNC1H1|DYNC1I2|DYNLL1|ENSA|FBXL12|FBXL15|FBXL18|FBXL21P|FBXL22|FBXL3|FBXL7|FBXL8|FBXW11|FGFR1OP|FOXM1|HAUS1|HAUS2|HAUS3|HAUS4|HAUS5|HAUS6|HAUS7|HAUS8|HSP90AA1|KAT14|KDM8|KHDRBS1|LATS1|LCMT1|MAPRE1|MASTL|MELK|MNAT1|NDE1|NEDD1|NEK2|NES|NINL|ODF2|OFD1|OPTN|PAFAH1B1|PCM1|PCNT|PHLDA1|PKMYT1|PLCB1|PLK1|PLK3|PLK4|PPM1D|PPME1|PPP1CB|PPP1R12A|PPP1R12B|PPP2R1A|PPP2R2A|PRKACA|PRKAR2B|SDCCAG8|SFI1|SKP1|SKP2|SSNA1|TAF2|TPD52L1|TUBA1A|TUBA4A|TUBB|TUBB4A|TUBB4B|TUBG1|USH1C|WEE1|WNT10B|YWHAE|YWHAG
GO:0000095	SLC25A26
GO:0000096	AHCY|BHMT|BHMT2|MAT1A|MTR|MTRR
GO:0000097	CDO1
GO:0000098	ADO|CTH|GADL1|MPST|TST|TXN2
GO:0000103	PAPSS1|PAPSS2|SULT2B1
GO:0000104	SDHA|SDHC|SDHD
GO:0000105	MTHFD1|MTHFD2L
